qid	engine	mode	code	ms	maskHits	rfCust	rfAddr	rfDate	errcode	changed
q05	core	rowfilter	1	3971	0	0	0	0	VALIDATION_ERROR	-1
q06	core	rowfilter	0	4338	0	1	1	2		1
q07	core	rowfilter	0	3345	0	0	0	1		1
q08	core	rowfilter	0	3873	0	1	2	1		1
q09	core	rowfilter	1	3051	0	0	0	0	LINEAGE_UNKNOWN	-1
q10	core	rowfilter	0	3935	0	1	1	3		1
q11	core	rowfilter	0	4000	0	2	0	2		1
q12	core	rowfilter	0	3696	0	0	0	1		1
q13	core	rowfilter	0	3547	0	0	4	1		1
q14	core	rowfilter	0	4327	0	0	0	9		1
q15	core	rowfilter	0	4060	0	1	1	1		1
q16	core	rowfilter	0	3549	0	0	1	1		1
q17	core	rowfilter	0	4172	0	0	0	3		1
q18	core	rowfilter	0	3745	0	1	1	1		1
q19	core	rowfilter	0	3823	0	1	1	1		1
q20	core	rowfilter	0	3480	0	0	0	1		1
q21	core	rowfilter	0	3754	0	0	0	1		1
q22	core	rowfilter	0	3414	0	0	0	1		1
q23	core	rowfilter	0	3962	0	4	0	4		1
q24	core	rowfilter	0	4012	0	1	1	0		1
q25	core	rowfilter	0	3648	0	0	0	3		1
q26	core	rowfilter	0	3584	0	0	0	1		1
q27	core	rowfilter	0	3713	0	0	0	1		1
q28	core	rowfilter	0	3601	0	0	0	0		1
q29	core	rowfilter	0	3744	0	0	0	3		1
q30	core	rowfilter	0	3711	0	1	2	1		1
q31	core	rowfilter	0	3648	0	0	2	2		1
q32	core	rowfilter	0	3601	0	0	0	2		1
q33	core	rowfilter	0	3761	0	0	3	3		1
q34	core	rowfilter	0	3482	0	1	0	1		1
q35	core	rowfilter	0	4068	0	1	1	3		1
q36	core	rowfilter	0	3710	0	0	0	1		1
q37	core	rowfilter	0	3896	0	0	0	1		1
q38	core	rowfilter	0	3793	0	3	0	3		1
q39	core	rowfilter	0	3579	0	0	0	1		1
q40	core	rowfilter	0	3919	0	0	0	1		1
q41	core	rowfilter	0	3694	0	0	0	0		1
q42	core	rowfilter	0	3691	0	0	0	1		1
q43	core	rowfilter	0	3923	0	0	0	1		1
q44	core	rowfilter	0	3530	0	0	0	0		1
q45	core	rowfilter	0	3517	0	1	1	1		1
q46	core	rowfilter	0	4478	0	1	2	1		1
q47	core	rowfilter	0	3982	0	0	0	1		1
q48	core	rowfilter	0	4792	0	0	4	1		1
q49	core	rowfilter	0	4731	0	0	0	3		1
q50	core	rowfilter	0	4696	0	0	0	2		1
q51	core	rowfilter	0	3825	0	0	0	2		1
q52	core	rowfilter	0	4137	0	0	0	1		1
q53	core	rowfilter	0	4186	0	0	0	1		1
q54	core	rowfilter	0	3997	0	1	1	4		1
q55	core	rowfilter	0	3293	0	0	0	1		1
